----------------------------------------------------------------------
|                       M2Det Training Program                       |
----------------------------------------------------------------------
===> Constructing M2Det model
Initializing weights for [tums, reduce, up_reduce, leach, loc, conf]...
===> Loading Dataset...
===> Training M2Det on VOC
Time:Thu Dec 22 03:29:14 2022||Epoch:2||EpochIter:236/454||Iter:690||Loss_L:2.6075||Loss_C:3.8683||Batch_Time:0.6733||LR:0.0012166
Time:Thu Dec 22 03:29:21 2022||Epoch:2||EpochIter:246/454||Iter:700||Loss_L:2.4162||Loss_C:3.4991||Batch_Time:0.6735||LR:0.0012342
Time:Thu Dec 22 03:29:27 2022||Epoch:2||EpochIter:256/454||Iter:710||Loss_L:2.2606||Loss_C:4.0470||Batch_Time:0.6746||LR:0.0012518
Time:Thu Dec 22 03:29:34 2022||Epoch:2||EpochIter:266/454||Iter:720||Loss_L:2.7867||Loss_C:4.2034||Batch_Time:0.6738||LR:0.0012694
Time:Thu Dec 22 03:29:41 2022||Epoch:2||EpochIter:276/454||Iter:730||Loss_L:2.0719||Loss_C:3.9738||Batch_Time:0.6754||LR:0.0012870
Time:Thu Dec 22 03:29:48 2022||Epoch:2||EpochIter:286/454||Iter:740||Loss_L:2.3935||Loss_C:3.9702||Batch_Time:0.6736||LR:0.0013046
Time:Thu Dec 22 03:29:55 2022||Epoch:2||EpochIter:296/454||Iter:750||Loss_L:2.0716||Loss_C:3.9932||Batch_Time:0.6734||LR:0.0013223
Time:Thu Dec 22 03:30:01 2022||Epoch:2||EpochIter:306/454||Iter:760||Loss_L:1.8813||Loss_C:4.1529||Batch_Time:0.6738||LR:0.0013399
Time:Thu Dec 22 03:30:08 2022||Epoch:2||EpochIter:316/454||Iter:770||Loss_L:2.8013||Loss_C:3.9532||Batch_Time:0.6740||LR:0.0013575
Time:Thu Dec 22 03:30:15 2022||Epoch:2||EpochIter:326/454||Iter:780||Loss_L:2.6726||Loss_C:4.0959||Batch_Time:0.6735||LR:0.0013751
Time:Thu Dec 22 03:30:22 2022||Epoch:2||EpochIter:336/454||Iter:790||Loss_L:2.6928||Loss_C:3.8900||Batch_Time:0.6723||LR:0.0013927
Time:Thu Dec 22 03:30:29 2022||Epoch:2||EpochIter:346/454||Iter:800||Loss_L:2.9938||Loss_C:3.8310||Batch_Time:0.6744||LR:0.0014103
Time:Thu Dec 22 03:30:35 2022||Epoch:2||EpochIter:356/454||Iter:810||Loss_L:1.7854||Loss_C:3.9428||Batch_Time:0.6730||LR:0.0014280
Time:Thu Dec 22 03:30:42 2022||Epoch:2||EpochIter:366/454||Iter:820||Loss_L:2.5104||Loss_C:4.0647||Batch_Time:0.6726||LR:0.0014456
Time:Thu Dec 22 03:30:49 2022||Epoch:2||EpochIter:376/454||Iter:830||Loss_L:1.6439||Loss_C:3.9260||Batch_Time:0.6729||LR:0.0014632
Time:Thu Dec 22 03:30:56 2022||Epoch:2||EpochIter:386/454||Iter:840||Loss_L:2.4801||Loss_C:3.9553||Batch_Time:0.6725||LR:0.0014808
Time:Thu Dec 22 03:31:02 2022||Epoch:2||EpochIter:396/454||Iter:850||Loss_L:2.1026||Loss_C:3.7947||Batch_Time:0.6806||LR:0.0014984
Time:Thu Dec 22 03:31:09 2022||Epoch:2||EpochIter:406/454||Iter:860||Loss_L:1.9523||Loss_C:3.7096||Batch_Time:0.6742||LR:0.0015160
Time:Thu Dec 22 03:31:16 2022||Epoch:2||EpochIter:416/454||Iter:870||Loss_L:2.4954||Loss_C:3.7619||Batch_Time:0.6744||LR:0.0015337
Time:Thu Dec 22 03:31:23 2022||Epoch:2||EpochIter:426/454||Iter:880||Loss_L:2.7770||Loss_C:4.1889||Batch_Time:0.6741||LR:0.0015513
Time:Thu Dec 22 03:31:30 2022||Epoch:2||EpochIter:436/454||Iter:890||Loss_L:2.5856||Loss_C:3.9072||Batch_Time:0.6730||LR:0.0015689
Time:Thu Dec 22 03:31:36 2022||Epoch:2||EpochIter:446/454||Iter:900||Loss_L:2.2190||Loss_C:3.8326||Batch_Time:0.6738||LR:0.0015865
Time:Thu Dec 22 03:31:47 2022||Epoch:3||EpochIter:2/454||Iter:910||Loss_L:1.7761||Loss_C:3.7832||Batch_Time:0.6756||LR:0.0016041
Time:Thu Dec 22 03:31:54 2022||Epoch:3||EpochIter:12/454||Iter:920||Loss_L:2.2135||Loss_C:3.9562||Batch_Time:0.6701||LR:0.0016217
Time:Thu Dec 22 03:32:00 2022||Epoch:3||EpochIter:22/454||Iter:930||Loss_L:2.5134||Loss_C:4.1502||Batch_Time:0.6739||LR:0.0016394
Time:Thu Dec 22 03:32:07 2022||Epoch:3||EpochIter:32/454||Iter:940||Loss_L:2.0209||Loss_C:4.0147||Batch_Time:0.6732||LR:0.0016570
Time:Thu Dec 22 03:32:14 2022||Epoch:3||EpochIter:42/454||Iter:950||Loss_L:2.7390||Loss_C:3.9464||Batch_Time:0.6721||LR:0.0016746
Time:Thu Dec 22 03:32:21 2022||Epoch:3||EpochIter:52/454||Iter:960||Loss_L:2.4735||Loss_C:3.7181||Batch_Time:0.6729||LR:0.0016922
Time:Thu Dec 22 03:32:28 2022||Epoch:3||EpochIter:62/454||Iter:970||Loss_L:1.5838||Loss_C:3.5989||Batch_Time:0.6737||LR:0.0017098
Time:Thu Dec 22 03:32:34 2022||Epoch:3||EpochIter:72/454||Iter:980||Loss_L:4.5829||Loss_C:4.2560||Batch_Time:0.6752||LR:0.0017274
Time:Thu Dec 22 03:32:41 2022||Epoch:3||EpochIter:82/454||Iter:990||Loss_L:2.4440||Loss_C:3.8071||Batch_Time:0.6740||LR:0.0017451
Time:Thu Dec 22 03:32:48 2022||Epoch:3||EpochIter:92/454||Iter:1000||Loss_L:2.0474||Loss_C:3.8368||Batch_Time:0.6733||LR:0.0017627
